# Date,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Short-wave irradiation
31/12/1986,297.04,76.01,1008.87,1.03,341.78,28.771855,149615
31/01/1987,299.1,78.88,1008.75,0.99,252.03,33.632147,167668.2
28/02/1987,299.68,82.59,1008.08,1.83,224.01,135.1575,141351.5
31/03/1987,299.58,82.64,1006.94,1.42,224.05,238.765644,140264.3
30/04/1987,299.88,84.27,1007.55,1.51,208.37,131.975604,135988.8
31/05/1987,299.46,86.52,1007.45,1.7,212.9,235.692288,123903.2
30/06/1987,298.34,87.31,1010.36,1.81,227,260.251488,121684.5
31/07/1987,298.19,88.76,1009.16,2.03,231.06,486.78012,116773.3
31/08/1987,297.94,89.03,1009.28,2.21,229.33,281.014308,139561.6
30/09/1987,298.11,89.15,1009.44,2.03,229.34,273.746268,122875.6
31/10/1987,298.37,89.25,1008.43,1.63,222.41,440.20368,113364.2
30/11/1987,299.01,86.11,1007.99,1.15,225.59,296.293212,116951.7
31/12/1987,299.06,78.64,1008.43,0.86,268.49,109.779156,135790.9
31/01/1988,299.09,78.5,1007.85,0.84,265.85,57.817224,144572.9
28/02/1988,300.31,79.75,1005.9,1.36,240.61,67.357224,139444.5
31/03/1988,299.98,84.56,1007.21,1.72,225.82,168.072372,121490.8
30/04/1988,299.66,86.62,1006.7,1.77,224.65,229.204584,113486.1
31/05/1988,299.35,87.67,1008.14,1.59,212.9,232.018668,118899.1
30/06/1988,298.43,88.58,1009.21,1.66,234.47,410.72652,112420.8
31/07/1988,297.54,88.35,1010.49,2.22,238.69,302.431824,138659.6
31/08/1988,297.63,87.53,1009.55,2.38,233.51,169.77492,161226.7
30/09/1988,297.74,89.19,1009.05,2.1,237.65,405.68148,124498.7
31/10/1988,298.36,88.9,1007.8,1.43,231.64,376.74072,111615.8
30/11/1988,298.89,84.83,1008.11,0.87,243.83,300.10104,116103.2
31/12/1988,297.94,82.19,1007.42,0.79,301.76,188.515656,118312.1
31/01/1989,295.6,65.93,1008.7,2.13,9.63,0.103061,181624.4
28/02/1989,298.21,66.54,1007.9,0.89,341.84,13.823755,162267.9
31/03/1989,299.21,83.12,1006.47,1.82,225.25,128.517768,123114.8
30/04/1989,299.12,86.93,1006.39,1.83,219.54,186.264252,111126.4
31/05/1989,298.7,87.86,1008.63,1.57,226.71,318.888432,109721.9
30/06/1989,298.13,88.49,1009.84,1.73,222.18,366.17148,113119.2
31/07/1989,297.4,89.02,1010.7,2.1,228.2,410.40288,125663.7
31/08/1989,297.48,89.05,1010,2.28,228.09,222.327936,135305
30/09/1989,297.71,89.04,1008.43,1.92,237.01,311.234292,116829.1
31/10/1989,298.22,88.22,1008.72,1.36,240.19,335.76876,112693.7
30/11/1989,299.15,84.83,1007.23,0.82,243.86,401.80392,118198.4
31/12/1989,298.67,78.76,1008.04,0.69,306.55,84.701952,125802.2
31/01/1990,299.22,80.18,1007.12,1.27,263.95,93.228912,135906.2
28/02/1990,299.27,72.92,1007.59,0.6,291.02,35.850557,145262.4
31/03/1990,300.62,77.16,1007.31,1.1,240.16,49.165272,151485.6
30/04/1990,299.82,85.43,1006.75,1.79,221.14,185.467968,118197.9
